iteration,goal_sampled,candidate_count,chosen_idx,chosen_rank,accepted,rejection_reason,tree_nodes
1,False,83,"(5, 5, 5, 5, 4, 4)",4,True,,2
2,False,0,,,False,invalid_random_target,2
3,True,83,"(4, 5, 5, 6, 4, 4)",1,True,,3
4,False,83,"(5, 5, 5, 6, 5, 4)",8,True,,4
5,False,83,"(4, 5, 5, 5, 4, 5)",1,True,,5
6,False,0,,,False,invalid_random_target,5
7,True,83,"(4, 5, 6, 6, 3, 4)",2,True,,6
8,False,83,"(4, 5, 5, 6, 5, 5)",5,True,,7
9,False,0,,,False,invalid_random_target,7
10,False,0,,,False,invalid_random_target,7
11,False,0,,,False,invalid_random_target,7
12,False,83,"(5, 5, 5, 6, 4, 5)",2,True,,8
13,False,83,"(5, 5, 5, 6, 3, 4)",2,True,,9
14,False,77,"(4, 4, 5, 6, 3, 4)",58,True,,10
15,False,82,"(4, 5, 5, 6, 5, 3)",10,True,,11
16,False,0,,,False,invalid_random_target,11
17,True,77,"(4, 5, 6, 6, 2, 3)",6,True,,12
18,False,82,"(5, 4, 5, 6, 3, 5)",26,True,,13
19,False,82,"(4, 5, 6, 7, 5, 3)",10,True,,14
20,False,0,,,False,invalid_random_target,14
21,False,82,"(4, 5, 5, 7, 4, 3)",4,True,,15
22,False,0,,,False,invalid_random_target,15
23,True,72,"(4, 5, 6, 8, 2, 3)",7,True,,16
24,True,80,"(4, 5, 6, 8, 1, 2)",14,True,,17
25,False,83,"(4, 5, 5, 6, 5, 5)",5,False,duplicate,17
26,False,0,,,False,invalid_random_target,17
27,False,76,"(4, 6, 7, 8, 1, 2)",11,True,,18
28,False,83,"(4, 4, 5, 5, 4, 4)",26,True,,19
29,False,0,,,False,invalid_random_target,19
30,False,70,"(4, 4, 5, 6, 2, 3)",14,True,,20
31,False,83,"(4, 5, 5, 5, 4, 5)",1,False,duplicate,20
32,False,82,"(4, 5, 5, 6, 4, 4)",2,False,duplicate,20
33,False,83,"(3, 5, 5, 7, 3, 3)",1,True,,21
34,False,82,"(4, 5, 5, 6, 5, 3)",10,False,duplicate,21
35,False,70,"(4, 4, 5, 3, 4, 4)",69,True,,22
36,False,83,"(5, 4, 6, 5, 5, 5)",34,True,,23
37,False,83,"(4, 5, 5, 6, 5, 3)",9,False,duplicate,23
38,False,74,"(4, 5, 6, 8, 4, 3)",4,True,,24
39,False,82,"(4, 5, 4, 7, 5, 5)",43,True,,25
40,True,77,"(3, 6, 7, 8, 1, 3)",10,True,,26
41,False,0,,,False,invalid_random_target,26
42,False,82,"(3, 5, 5, 6, 3, 4)",1,True,,27
43,False,0,,,False,invalid_random_target,27
44,False,0,,,False,invalid_random_target,27
45,False,83,"(4, 4, 4, 7, 6, 5)",75,True,,28
46,False,0,,,False,invalid_random_target,28
47,False,72,"(4, 4, 4, 7, 5, 4)",3,True,,29
48,True,66,"(3, 6, 7, 9, 1, 2)",9,True,,30
49,False,0,,,False,invalid_random_target,30
50,False,72,"(5, 4, 5, 7, 6, 5)",34,True,,31
51,False,61,"(4, 4, 6, 6, 5, 5)",5,True,,32
52,False,0,,,False,invalid_random_target,32
53,False,0,,,False,invalid_random_target,32
54,False,0,,,False,invalid_random_target,32
55,True,66,"(3, 6, 7, 8, 1, 2)",1,True,,33
56,False,0,,,False,invalid_random_target,33
57,False,71,"(3, 4, 5, 4, 4, 4)",3,True,,34
58,False,0,,,False,invalid_random_target,34
59,False,71,"(4, 5, 5, 4, 4, 4)",4,True,,35
60,False,71,"(5, 4, 6, 6, 3, 4)",8,True,,36
61,False,82,"(5, 5, 5, 6, 2, 5)",11,True,,37
62,False,0,,,False,invalid_random_target,37
63,True,65,"(3, 6, 6, 9, 1, 2)",29,True,,38
64,False,82,"(4, 5, 5, 6, 2, 4)",4,True,,39
65,False,83,"(4, 5, 5, 5, 3, 4)",2,True,,40
66,True,65,"(4, 6, 7, 7, 1, 2)",53,True,,41
67,False,0,,,False,invalid_random_target,41
68,False,71,"(4, 4, 7, 3, 4, 4)",23,True,,42
69,False,71,"(5, 4, 4, 7, 6, 4)",34,True,,43
70,False,71,"(4, 5, 5, 4, 4, 4)",4,False,duplicate,43
71,False,71,"(4, 4, 5, 4, 3, 4)",2,True,,44
72,False,82,"(3, 5, 5, 5, 4, 4)",3,True,,45
73,True,65,"(3, 6, 7, 8, 2, 2)",10,True,,46
74,False,82,"(5, 5, 5, 7, 2, 4)",6,True,,47
75,False,71,"(4, 4, 5, 3, 6, 4)",69,True,,48
76,False,71,"(5, 4, 5, 6, 2, 4)",10,True,,49
77,False,0,,,False,invalid_random_target,49
78,False,83,"(5, 5, 5, 6, 3, 4)",2,False,duplicate,49
79,False,0,,,False,invalid_random_target,49
80,False,71,"(4, 4, 5, 4, 3, 4)",2,False,duplicate,49
81,False,82,"(4, 6, 5, 6, 4, 3)",5,True,,50
82,False,70,"(4, 4, 5, 7, 3, 3)",13,True,,51
83,False,0,,,False,invalid_random_target,51
84,False,61,"(5, 4, 6, 4, 5, 4)",33,True,,52
85,False,83,"(6, 5, 5, 5, 5, 6)",74,True,,53
86,False,72,"(4, 4, 4, 7, 5, 4)",2,False,duplicate,53
87,False,71,"(4, 4, 5, 3, 2, 4)",11,True,,54
88,False,70,"(4, 4, 5, 3, 1, 4)",28,True,,55
89,False,83,"(6, 5, 5, 5, 3, 6)",8,True,,56
90,False,0,,,False,invalid_random_target,56
91,False,0,,,False,invalid_random_target,56
92,False,66,"(4, 4, 5, 7, 2, 2)",15,True,,57
93,False,72,"(5, 5, 4, 7, 5, 4)",4,True,,58
94,False,65,"(4, 4, 5, 4, 2, 4)",5,True,,59
95,False,61,"(4, 4, 6, 5, 5, 4)",6,True,,60
96,True,65,"(4, 6, 7, 8, 2, 2)",56,True,,61
97,False,72,"(5, 4, 3, 7, 5, 4)",30,True,,62
98,False,69,"(3, 4, 5, 7, 1, 2)",5,True,,63
99,False,57,"(4, 4, 6, 6, 2, 4)",3,True,,64
100,False,82,"(4, 5, 5, 7, 2, 5)",4,True,,65
101,False,83,"(5, 6, 5, 6, 4, 4)",10,True,,66
102,False,82,"(4, 5, 5, 7, 4, 5)",5,True,,67
103,False,83,"(6, 5, 5, 6, 5, 5)",7,True,,68
104,False,0,,,False,invalid_random_target,68
105,False,76,"(3, 5, 6, 8, 1, 3)",10,True,,69
106,False,70,"(4, 5, 5, 3, 3, 4)",30,True,,70
107,False,70,"(4, 4, 4, 2, 2, 4)",68,True,,71
108,False,69,"(5, 4, 5, 7, 2, 3)",57,True,,72
109,False,71,"(5, 4, 6, 3, 6, 4)",36,True,,73
110,False,83,"(5, 5, 4, 7, 6, 5)",77,True,,74
111,False,71,"(4, 4, 5, 4, 5, 4)",1,True,,75
112,False,82,"(6, 5, 5, 5, 2, 6)",26,True,,76
113,False,71,"(4, 4, 5, 5, 6, 4)",2,True,,77
114,False,72,"(4, 5, 3, 7, 6, 5)",45,True,,78
115,False,0,,,False,invalid_random_target,78
116,False,83,"(3, 5, 5, 7, 2, 4)",1,True,,79
117,False,71,"(4, 4, 6, 4, 6, 4)",45,True,,80
118,False,82,"(4, 6, 5, 2, 3, 4)",68,True,,81
119,False,0,,,False,invalid_random_target,81
120,False,83,"(3, 5, 3, 7, 5, 5)",4,True,,82
